"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"1355","03/31/2018","market","QC'S DELI GROCERY INC","","6123","FORT HAMILTON PKWY","","BROOKLYN",11219,"347-673-9886","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.0068489,40.63221113
"1359","03/31/2018","market","BASHIR BAGELS & SUPERMARKET, INC","FRESCO BAKERY","6931","3RD AVE","","BROOKLYN",11209,"347-691-2772","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.0261539,40.63541976
"1361","03/31/2018","market","TRIBECA VILLAGE FARM, INC.","MORGAN'S MARKET","13","HUDSON ST","","NEW YORK",10013,"2129644283","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00919871,40.71633557
"1363","03/31/2018","market","EAST N WEST DELI GROCERY CORP","","501","W 145TH ST","","NEW YORK",10031,"2122344490","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.94800895,40.82541387
"1368","03/31/2018","market","HOMEY SUPERMARKET, INC.","","2222","86TH ST","","BROOKLYN",11214,"7183731888","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.99331269,40.60162866
"1371","03/31/2018","market","WOLF, ADALBERT","WOLF'S GROCERY","2362","NOSTRAND AVE","","BROOKLYN",11210,"718-252-1569","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94699961,40.62737927
"1379","03/31/2018","market","GREEN GOURMET, INC.","","790","LEXINGTON AVE","","NEW YORK",10065,"2127597811","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96710657,40.76372487
"1382","03/31/2018","market","SUPERIOR LATENIGHT DELI CORP.","N & M TRANSMISSIONS","1402","CORTELYOU RD","","BROOKLYN",11226,"3477853010","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9651529,40.64088233
"1383","03/31/2018","market","SONAMOO, INC.","","14835","JAMAICA AVE","","JAMAICA",11435,"7186574689","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80606479,40.70182568
"1390","03/31/2018","market","123 MEAT, FRUIT & VEGETABLE, CORP.","ANTILLANA MEAT MARKET","123","W KINGSBRIDGE RD","","BRONX",10468,"2127571480","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 9, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90254852,40.86880842
"1392","03/31/2018","market","MARIA GROCERY STORE INC","","7802","WOODSIDE AVE","","ELMHURST",11373,"6465084010","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88695018,40.7436841
"1397","03/31/2018","market","T & H MARKETS INC.","MODERN FRUIT & VEGETABLES","3822","E TREMONT AVE","","BRONX",10465,"718-892-5999","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.82036568,40.82463517
"1398","03/31/2018","market","FLORIST PARADISE INC.","","634","W 207TH ST","","NEW YORK",10034,"2129420679","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92162144,40.86831518
"1399","03/31/2018","market","CAFE DEL SOL INC.","ACCELERATOR DUAL SLIDE","480","FASHION AVE","","NEW YORK",10018,"2122799858","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9897677,40.7521902
"1400","03/31/2018","market","GALINDO, SOFIA","","2106","AMSTERDAM AVE","","NEW YORK",10030,"7183380022","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93107763,40.85296462
"1406","03/31/2018","market","LINA FOOD CORP.","C-TOWN SUPERMARKET","4918","BROADWAY","","NEW YORK",10034,"2125674881","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92191895,40.86743159
"1407","03/31/2018","market","Grass Fed Inc","Marlow & Daughters","95","BROADWAY","","BROOKLYN",11249,"7184867091","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96507686,40.71044313
"1412","03/31/2018","market","2837 CHURCH GROCERY, INC.","","2837","CHURCH AVE","","BROOKLYN",11226,"7182873435","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95061365,40.65076097
"1414","03/31/2018","market","APNA SUPPER MARKET INC.","","980","CONEY ISLAND AVE","","BROOKLYN",11230,"718-421-2255","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9671707,40.63361747
"1424","03/31/2018","market","FRESH START FOOD INC","GARDEN OF EDEN","180","MONTAGUE ST","","BROOKLYN",11201,"718-222-1515","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99175638,40.69407835
"1425","03/31/2018","market","WESTCHESTER CARIBBEAN MART, INC.","The Law Office of Jason Gang","1503","WESTCHESTER AVE","","BRONX",10472,"7188427611","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87989715,40.82853594
"1426","03/31/2018","market","MS CORNER DELI GROCERY INC","","1714","W 6TH ST","","BROOKLYN",11223,"347-933-8879","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 3, 5.01 to 10 foot stands: 0",-73.9792238,40.605574
"1431","03/31/2018","market","THE AVENUE CAFE, INC.","","305","7TH AVE","","BROOKLYN",11215,"718-832-0218","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98094915,40.66763118
"1434","03/31/2018","market","ZUMY 833, INC.","ANGI'S GROCERY STORE","313","7TH AVE","","BROOKLYN",11215,"718-499-2044","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98121959,40.66730734
"1438","03/31/2018","market","MIDDLE EASTERN GROCERY CORP.","","2512","STEINWAY ST","","ASTORIA",11103,"718-278-6030","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91200351,40.76758526
"1442","03/31/2018","market","GOURMET DELI ON 8TH AVE CORP. I","","100","8TH AVE","","NEW YORK",10011,"2127278079","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00208579,40.74033607
"1444","03/31/2018","market","SAANVI FOOD MART, INC.","","6830","ROOSEVELT AVE","","WOODSIDE",11377,"718-424-4652","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8968957,40.74626526
"1445","03/31/2018","market","LEMON TREE FOOD MARKET CORP","LEMON TREE NATURAL MARKET","387","GRAHAM AVE","","BROOKLYN",11211,"7183835900","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94468873,40.71631991
"1450","03/31/2018","market","JH KIL, CORP","","11719","LIBERTY AVE","","SOUTH RICHMOND HILL",11419,"7188434318","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 12, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82569346,40.68597033
"1452","03/31/2018","market","FMG INNOVATIONS CORP","JUSTIN GROCERY","2615","FRANCIS LEWIS BLVD","","FLUSHING",11358,"7183520298","Queens","Product Category: Ice Cream, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.79513577,40.77261332
"1453","03/31/2018","market","AMAPEN MINI MART CORP.","STOP 1","3802","108TH ST","","CORONA",11368,"7183352175","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85952687,40.75218735
"1457","03/31/2018","market","REYCO SUPERMARKETS LLC","SUPER FI EMPORIUM","1635","LEXINGTON AVE","","NEW YORK",10029,"212-410-6733","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94753785,40.79050077
"1458","03/31/2018","market","AMERICAN INTERNATIONAL FOODS INC","MOBIL","8022","20TH AVE","","BROOKLYN",11214,"718-758-4780","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 9, 5.01 to 10 foot stands: 0",-73.99490752,40.60783747
"1466","03/31/2018","market","CHENG, PETER KIM YING","TODAY WATCH & JEWELRY REPAIR","205","GRAND ST","","NEW YORK",10013,"6462392858","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99636727,40.7189983
"1467","03/31/2018","market","JAMAICA AVENUE MEATS, INC.","THE MEAT BURN","14618","JAMAICA AVE","","JAMAICA",11435,"7185263500","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80863275,40.7017943
"1477","03/31/2018","market","SKYFOOD MART INC.-ELMHURST","TERRENCE WORMS","7955","ALBION AVE","","ELMHURST",11373,"7189396688","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 13, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88437753,40.73927347
"1480","03/31/2018","market","THANKSGIVING SUPERMARKET INC","","2243","86TH ST","","BROOKLYN",11214,"347-587-4599","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99267172,40.60125259
"1485","03/31/2018","market","MAHANT 404, INC","APPLE GOURMET FARM","404","ATLANTIC AVE","","BROOKLYN",11217,"7188555788","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98450975,40.68679573
"1487","03/31/2018","market","BLEECKER FARM CORP.","","272","BLEECKER ST","","NEW YORK",10014,"2122291587","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00317157,40.73150343
"1488","03/31/2018","market","111 FOOD MARKET CORP.","","11101","41ST AVE","","CORONA",11368,"7186721981","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.85499971,40.75104267
"1494","03/31/2018","market","RICHMOND NURSERY CORP.","SWEETBROOK NURSERY & GARDEN CENTER","2371","FOREST AVE","","STATEN ISLAND",10303,"7184485661","Staten Island","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.16887693,40.62782465
"1495","03/31/2018","market","ARI'S FRUITLAND INC.","BORIS FRUITLAND","4504","FORT HAMILTON PKWY","","BROOKLYN",11219,"718-436-0968","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.99493027,40.64020953
"1499","03/31/2018","market","HONG KAY MARKET INC.","","7022","18TH AVE","","BROOKLYN",11204,"7182329039","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99326441,40.61609098
"1500","03/31/2018","market","BAY RIDGE MINI MART INC.","","8623","3RD AVE","","BROOKLYN",11209,"347-662-6122","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.03114192,40.6232344
"1510","03/31/2018","market","PENA, WILLIAM","LA FINCA FRUITS & VEGETABLES","2894","FULTON ST","","BROOKLYN",11207,"347-971-9095","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88786035,40.67891404
"1514","03/31/2018","market","TAVERAS, CARMEN","","186","PENNSYLVANIA AVE","","BROOKLYN",11207,"718-485-0808","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89625855,40.67336923
"1515","03/31/2018","market","APNA SOHNA BAZAR INC.","","11710","ROCKAWAY BLVD","WEST  111 STREET","SOUTH OZONE PARK",11420,"3472519161","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82058484,40.67634752
"1516","03/31/2018","market","H & C CHEMISTS INC.","","1299","1ST AVE","","NEW YORK",10021,"2125351700","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95703682,40.76640317
"1520","03/31/2018","market","ALEJANDRO GLORIA","MI JACALITO","591","CRESCENT AVE","EAST   66 STREET","BRONX",10458,"347-366-5616","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.88926866,40.85344533
"1526","03/31/2018","market","HONG FUNG BAKERY INC.","","5124","8TH AVE","","BROOKLYN",11220,"9176878999","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00448962,40.64037973
"1531","03/31/2018","market","FRESH POND EXPRESS DELI INC","","6620","FRESH POND RD","","RIDGEWOOD",11385,"7184178766","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89807948,40.70849295
"1535","03/31/2018","market","PWP EQUITIES CORP.","MET FRESH SUPERMARKET","1188","WEBSTER AVE","","BRONX",10456,"7185882600","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 14, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91002541,40.83154139
"1541","03/31/2018","market","AKSHAR 137 INC.","SUPER DAIRY MILL","13720","CROSSBAY BLVD","","OZONE PARK",11417,"9179817451","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 7, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.84300635,40.67136833
"1556","03/31/2018","market","17 FOOD MARKET INC","","116","7TH AVE","","NEW YORK",10011,"212-206-8908","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99835807,40.74038548
"1559","03/31/2018","market","SKYLIGHT HOLDINGS INC.","COMPARE FOOD","312","E 194TH ST","","BRONX",10458,"7184503405","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89179922,40.86442105
"1562","03/31/2018","market","RAHIM GROCERY & HALAL MEAT CORP.","","1076","CONEY ISLAND AVE","","BROOKLYN",11230,"718-421-0848","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96650536,40.63124578
"1564","03/31/2018","market","BLISS DELI & GROCERY CORP","","4622","QUEENS BLVD","","SUNNYSIDE",11104,"7184820356","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91841256,40.74311507
"1573","03/31/2018","market","RAUL SANCHEZ","FLOWERS BY SANCHEZ","7810","CYPRESS AVE","","GLENDALE",11385,"3477439297","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89852913,40.69507418
"1577","03/31/2018","market","Y & C RIVERDALE FARM CORP.","","572","W 235TH ST","","BRONX",10463,"7185430863","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91057045,40.88576065
"1583","03/31/2018","market","OFF BROADWAY FLORAL EVENTS INC.","","3204","31ST ST","","ASTORIA",11106,"9177496092","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.92567444,40.76162507
"1585","03/31/2018","market","JO-RACH, INC.","CAFFE PALERMO","148","MULBERRY ST","","NEW YORK",10013,"2124314205","Manhattan","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99747477,40.7189352
"1586","03/31/2018","market","K & N DELI GROCERY CORP","","701A","SAINT NICHOLAS AVE","","NEW YORK",10031,"6465250811","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.94466411,40.82417993
"1592","03/31/2018","market","BLADI'S DELI CORP","","3856","BROADWAY","","NEW YORK",10032,"646-545-8070","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94314335,40.83641513
"1598","03/31/2018","market","46 FOOD CORP.","","4560","46TH ST","","WOODSIDE",11377,"7187067802","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 9, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91894078,40.74201754
"1604","03/31/2018","market","E.T. FRESH FOOD USA INC","KLASS MEDICALS AND GENERAL SUPPLIES","6301","ROOSEVELT AVE","","WOODSIDE",11377,"3472797916","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90094195,40.74585435
"1606","03/31/2018","market","Acitrezza LLC","","64","UNIVERSITY PL","","NEW YORK",10003,"9178543414","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99363507,40.73295253
"1614","03/31/2018","market","FANCY BAKERY INC","GAMESTOP 6522","1073","BRIGHTON BEACH AVE","","BROOKLYN",11235,"347-831-0055","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95747829,40.57818039
"1616","03/31/2018","market","LEE, MYUNG SOOK","K & L DAIRY FARM","7601","37TH AVE","","JACKSON HEIGHTS",11372,"7187790506","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88976678,40.74918456
"1617","03/31/2018","market","3 STAR GROCERY CORP.","","4106","JUNCTION BLVD","","CORONA",11368,"7182057150","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86850543,40.74737542
"1620","03/31/2018","market","ADVANCED DOMINO INC","","1824","KINGS HWY","","BROOKLYN",11229,"718-627-4008","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95530064,40.61003845
"1622","03/31/2018","market","GREEN 2 GREEN CORP.","","209","W 96TH ST","","NEW YORK",10025,"212-662-4400","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97075362,40.79422536
